,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,_event,_interaction_subject_id,_percentage_start,_percentage_stop,_scope,_scoring_id,_social,_subject_id,_type,_type_name,_value,_value_color,_variable_id
0,StealingParadigm_2022_11_30_VS_Lilo3,1158.9997451099616,69540,1185.7164059010354,71143.0,Lilo3,trial,1,,,,False,,0.7196895213454075,0.7362794307891333,3,7560,0,2234,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14403,#c5f379,14397
1,StealingParadigm_2022_11_30_VS_Lilo3,1170.3330759508412,70220,1179.566407253558,70774.0,Lilo3,latency_first_choice,latency,,,,False,,0.7267270375161707,0.7324605433376455,3,7560,0,2234,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14408,#9279f3,14398
2,StealingParadigm_2022_11_30_VS_Lilo3,1179.84974052458,70791,,,Lilo3,first_choice,transparent,,,,True,,0.7326364812419146,0.7326364812419146,3,7560,0,2234,LOOPY_scoring_event_nonsocial,Nonsocial Event,14401,#79f398,14396
3,StealingParadigm_2022_11_30_VS_Lilo3,1211.6830668570508,72701,1241.883060215395,74513.0,Lilo3,trial,2,,,,False,,0.7524036222509702,0.7711565329883571,3,7560,0,2234,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14404,#c5f379,14397
4,StealingParadigm_2022_11_30_VS_Lilo3,1225.5330638111259,73532,1233.8997286377753,74034.0,Lilo3,latency_first_choice,latency,,,,False,,0.7610038809831824,0.7661992238033635,3,7560,0,2234,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14408,#9279f3,14398
5,StealingParadigm_2022_11_30_VS_Lilo3,1234.5330618318244,74072,,,Lilo3,first_choice,transparent,,,,True,,0.7665924967658474,0.7665924967658474,3,7560,0,2234,LOOPY_scoring_event_nonsocial,Nonsocial Event,14401,#79f398,14396
6,StealingParadigm_2022_11_30_VS_Lilo3,1395.9830263253561,83759,1486.7330063674003,89204.0,Lilo3,trial,3,,,,False,,0.8668460543337646,0.9231979301423027,3,7560,0,2234,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14405,#c5f379,14397
7,StealingParadigm_2022_11_30_VS_Lilo3,1411.3830229385517,84683,1476.1496753615788,88569.0,Lilo3,latency_first_choice,latency,,,,False,,0.8764087968952134,0.9166261319534282,3,7560,0,2234,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14408,#9279f3,14398
8,StealingParadigm_2022_11_30_VS_Lilo3,1476.283008665589,88577,,,Lilo3,first_choice,transparent,,,,True,,0.9167089262613195,0.9167089262613195,3,7560,0,2234,LOOPY_scoring_event_nonsocial,Nonsocial Event,14401,#79f398,14396
9,StealingParadigm_2022_11_30_VS_Lilo3,1515.0496668065982,90903,1589.2829838143603,95357.0,Lilo3,trial,4,,,,False,,0.9407813712807245,0.9868771021992238,3,7560,0,2234,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14406,#c5f379,14397
10,StealingParadigm_2022_11_30_VS_Lilo3,1524.1996647943083,91452,1580.8329856727044,94850.0,Lilo3,latency_first_choice,latency,,,,False,,0.9464631306597672,0.9816300129366106,3,7560,0,2234,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14408,#9279f3,14398
11,StealingParadigm_2022_11_30_VS_Lilo3,1581.449652203752,94887,,,Lilo3,first_choice,transparent,,,,True,,0.9820129366106081,0.9820129366106081,3,7560,0,2234,LOOPY_scoring_event_nonsocial,Nonsocial Event,14401,#79f398,14396
12,StealingParadigm_2022_12_07_VS_Zira,1064.0,63840,1100.2833333333333,66017.0,Zira,trial,1,,,,False,,0.6605071751523491,0.6830310492173032,3,7561,0,2235,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14403,#c5f379,14397
13,StealingParadigm_2022_12_07_VS_Zira,1080.4833333333333,64829,1084.2166666666667,65053.0,Zira,latency_first_choice,latency,,,,False,,0.670739656296235,0.6730572253318573,3,7561,0,2235,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14408,#9279f3,14398
14,StealingParadigm_2022_12_07_VS_Zira,1084.1166666666666,65047,,,Zira,first_choice,opaque,,,,True,,0.6729951475898317,0.6729951475898317,3,7561,0,2235,LOOPY_scoring_event_nonsocial,Nonsocial Event,14400,#bb79f3,14396
