,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,trial,Partner,Initiation,Termination,_event,_interaction_subject_id,_percentage_start,_percentage_stop,_scope,_scoring_id,_social,_subject_id,_type,_type_name,_value,_value_color,_variable_id
0,StealingParadigm_2022_11_22_VS_Sunny13,538.882971,32333,562.682955,33761,Sunny13,pretest,pretest_1a,,,,,FALSE,,0.354976121,0.370653785,3,3244,0,1913,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,12133,#02d779,12131
1,StealingParadigm_2022_11_22_VS_Sunny13,640.9329023,38456,647.9328976,38876,Sunny13,pretest,pretest_2,,,,,FALSE,,0.422199045,0.426810122,3,3244,0,1913,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,12134,#02d779,12131
2,StealingParadigm_2022_11_22_VS_Sunny13,706.832858,42410,731.8328412,43910,Sunny13,pretest,pretest_1b,,,,,FALSE,,0.465609046,0.482077181,3,3244,0,1913,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,12135,#02d779,12131
3,StealingParadigm_2022_11_22_VS_Sunny13,1004.315991,60259,1057.849289,63471,Sunny13,trial,1,1,,,,FALSE,,0.661568864,0.696832629,3,3244,0,1913,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,11900,#f39a79,11889
4,StealingParadigm_2022_11_22_VS_Sunny13,1028.649308,61719,1042.565966,62554,Sunny13,latency_first_choice,latency,1,,,,FALSE,,0.677597848,0.68676511,3,3244,0,1913,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,12118,#02d779,12116
5,StealingParadigm_2022_11_22_VS_Sunny13,1039.915967,62395,,,Sunny13,line_crossing,opaque_line,1,,,,TRUE,,0.685019487,0.685019487,3,3244,0,1913,LOOPY_scoring_event_nonsocial,Nonsocial Event,11897,#e1f379,11888
6,StealingParadigm_2022_11_22_VS_Sunny13,1042.549299,62553,,,Sunny13,first_choice,opaque,1,,,,TRUE,,0.686754131,0.686754131,3,3244,0,1913,LOOPY_scoring_event_nonsocial,Nonsocial Event,11891,#b9f379,11886
7,StealingParadigm_2022_11_22_VS_Sunny13,1098.332595,65900,1139.9159,68395,Sunny13,trial,2,2,,,,FALSE,,0.723500027,0.750892024,3,3244,0,1913,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,11901,#797cf3,11889
8,StealingParadigm_2022_11_22_VS_Sunny13,1118.299248,67098,1135.449236,68127,Sunny13,latency_first_choice,latency,2,,,,FALSE,,0.736652577,0.747949717,3,3244,0,1913,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,12118,#02d779,12116
9,StealingParadigm_2022_11_22_VS_Sunny13,1133.832571,68030,,,Sunny13,line_crossing,opaque_line,2,,,,TRUE,,0.746884778,0.746884778,3,3244,0,1913,LOOPY_scoring_event_nonsocial,Nonsocial Event,11897,#e1f379,11888
10,StealingParadigm_2022_11_22_VS_Sunny13,1135.449236,68127,,,Sunny13,first_choice,opaque,2,,,,TRUE,,0.747949717,0.747949717,3,3244,0,1913,LOOPY_scoring_event_nonsocial,Nonsocial Event,11891,#b9f379,11886
11,StealingParadigm_2022_11_22_VS_Sunny13,1180.015873,70801,1354.632422,81278,Sunny13,pause,pause,2,,,,FALSE,,0.777306911,0.892331339,3,3244,0,1913,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,12178,#02d779,12176
12,StealingParadigm_2022_11_22_VS_Sunny13,1426.915707,85615,1462.98235,87779,Sunny13,trial,3,3,,,,FALSE,,0.939946204,0.963704232,3,3244,0,1913,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,11902,#a0f379,11889
13,StealingParadigm_2022_11_22_VS_Sunny13,1453.982356,87239,1457.265687,87436,Sunny13,latency_first_choice,latency,3,,,,FALSE,,0.957775704,0.959938519,3,3244,0,1913,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,12118,#02d779,12116
14,StealingParadigm_2022_11_22_VS_Sunny13,1456.74902,87405,,,Sunny13,line_crossing,transparent_line,3,,,,TRUE,,0.959598178,0.959598178,3,3244,0,1913,LOOPY_scoring_event_nonsocial,Nonsocial Event,11898,#e179f3,11888
15,StealingParadigm_2022_11_22_VS_Sunny13,1457.165687,87430,,,Sunny13,first_choice,transparent,3,,,,TRUE,,0.959872646,0.959872646,3,3244,0,1913,LOOPY_scoring_event_nonsocial,Nonsocial Event,11892,#f379dc,11886
16,StealingParadigm_2022_11_22_VS_Sunny13,1457.265687,87436,1462.83235,87770,Sunny13,latency_first_choice,latency_to_2nd_choice,3,,,,FALSE,,0.959938519,0.963605424,3,3244,0,1913,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,12156,#02d779,12116
17,StealingParadigm_2022_11_22_VS_Sunny13,1483.732336,89024,1514.248982,90855,Sunny13,trial,4,4,,,,FALSE,,0.977372784,0.997474886,3,3244,0,1913,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,11903,#f379c3,11889
18,StealingParadigm_2022_11_22_VS_Sunny13,1507.265653,90436,1509.165652,90550,Sunny13,latency_first_choice,latency,4,,,,FALSE,,0.992874787,0.994126365,3,3244,0,1913,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,12118,#02d779,12116
19,StealingParadigm_2022_11_22_VS_Sunny13,1508.565652,90514,,,Sunny13,line_crossing,opaque_line,4,,,,TRUE,,0.99373113,0.99373113,3,3244,0,1913,LOOPY_scoring_event_nonsocial,Nonsocial Event,11897,#e1f379,11888
20,StealingParadigm_2022_11_22_VS_Sunny13,1509.165652,90550,,,Sunny13,first_choice,opaque,4,,,,TRUE,,0.994126365,0.994126365,3,3244,0,1913,LOOPY_scoring_event_nonsocial,Nonsocial Event,11891,#b9f379,11886
21,StealingParadigm_2022_11_22_VS_Sunny13,1509.165652,90550,1514.232315,90854,Sunny13,latency_first_choice,latency_to_2nd_choice,4,,,,FALSE,,0.994126365,0.997463907,3,3244,0,1913,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,12156,#02d779,12116
22,StealingParadigm_2022_11_28_VS_Quintus,277.2498002,16635,302.3497821,18141,Quintus,pretest,pretest_1a,,,,,FALSE,,0.195765764,0.213488832,3,3267,0,1922,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,12133,#02d779,12131
23,StealingParadigm_2022_11_28_VS_Quintus,377.9330609,22676,390.333052,23420,Quintus,pretest,pretest_2,,,,,FALSE,,0.266858098,0.275613717,3,3267,0,1922,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,12134,#02d779,12131
24,StealingParadigm_2022_11_28_VS_Quintus,647.0662003,38824,665.5828536,39935,Quintus,pretest,pretest_1b,,,,,FALSE,,0.456892697,0.469967284,3,3267,0,1922,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,12135,#02d779,12131
25,StealingParadigm_2022_11_28_VS_Quintus,852.5993854,51156,882.2826974,52937,Quintus,trial,1,1,,,,FALSE,,0.602019441,0.622978794,3,3267,0,1922,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,11900,#f39a79,11889
26,StealingParadigm_2022_11_28_VS_Quintus,877.7827006,52667,879.9993657,52800,Quintus,latency_first_choice,latency,1,,,,FALSE,,0.619801351,0.621366536,3,3267,0,1922,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,12118,#02d779,12116
27,StealingParadigm_2022_11_28_VS_Quintus,879.3993661,52764,,,Quintus,line_crossing,opaque_line,1,,,,TRUE,,0.620942877,0.620942877,3,3267,0,1922,LOOPY_scoring_event_nonsocial,Nonsocial Event,11897,#e1f379,11888
28,StealingParadigm_2022_11_28_VS_Quintus,879.9993657,52800,,,Quintus,first_choice,opaque,1,,,,TRUE,,0.621366536,0.621366536,3,3267,0,1922,LOOPY_scoring_event_nonsocial,Nonsocial Event,11891,#b9f379,11886
